Community By-Name List | Client information,List management,Unique identifier/ HIFIS client ID,Last contact date,Triage and assessment | Assessment type,Location,Assessment completed,months_homeless_year,months_homeless_3years,Date Housing history updated,sleeping_arrangement,Housed,Veteran information | Veteran status,Veteran status confirmed,VAC eligible,gender,Date of birth,age,Head of household,Number of children (age 0-18) to be housed with client,indigenous_identity,Resource matching | Referral agency,Added to By-Name List,Consent obtained,Documents collected,Matched to case management resources,Accepted case management resources,assigned_agency,Matched to housing allowance/rent subsidy resources,Accepted housing allowance/rent subsidy resources,Matched to housing,Accepted housing,Asylum Seeker,chronically_homeless,youth,3.1 Indigenous,institution_transition,3.1.1 Household members active on BNL in the year,3.2 New on BNL (Inflow),3.3 Returned to active status on BNL from any inactive status (excludes from housing),"3.4 Return to homelessness on BNL from housing, 1 or more times (Inflow)",3.5 Become inactive on BNL (Outflow),3.6 & 3.6.1 Moved into housing (any type) (Outflow),4.1 Asssisted through HPP to be housed in Supportive Housing or Long-term Housing (rent supplements or housing allowances),Administrator | Administrator notes | Last Administrator update,Last name,First name,Track changes,By-Name List monthly data | Inactive policy timeframe,May 2025: housed,Reporting period,Reporting period change: All populations,Reporting period change: Chronic criteria only,Reporting period change: Veteran criteria only,Reporting period change: Youth criteria only,Reporting period change: Single adult criteria only,Reporting period change: Family criteria only,Added to By-Name List date,column_59,Housed date,column_61,Data point date,column_63,Reporting month (DNE) | 2026-02-01 00:00:00,Chronic data,Veteran data | CW Brittany,Youth data,Single adult data,Family data,All population data,HPP performance indicators | Households,income_source,referrals,Willowdale,consents,RGI,rent support status
Housed,Housed,,2025-06-01 00:00:00,,Perth,2024-08-16 00:00:00,11,11,2025-06-01 00:00:00,permanent housing ,2025-06-01 00:00:00,Not a veteran,,,male,1996-05-04 00:00:00,29,Family,1,Non-Indigenous,Other,2024-08-16 00:00:00,Yes,,,,Lanark County Social Services/Housing,,,,,,ü,,,,1,ü,,,ü,ü,ü,2025-06-01 00:00:00,Hogan ,Valerie ,"Aug 2024:  added to BNL, chronic family  Dec 2024:  housed April 2025:  returned from Housed June 2025 : housed ",2025-09-29 00:00:00,Inactive,2025-04-01 00:00:00,Returned from housing,,,,,,,August,2024,June,2025,April,2025,,Chronic,---,---,---,Family,---,All populations,1,OW,hbcm,,,,
Inactive,Documents needed,,2024-06-01 00:00:00,,Perth,2024-01-15 00:00:00,7,7,2024-01-01 00:00:00,Unsheltered,,Not a veteran,,,Male ,1990-07-26 00:00:00,35,Adult,,,Lanark County Social Services/Housing,2024-01-15 00:00:00,Yes,,,,Lanark County Social Services/Housing,,,,,,ü,,,,,ü,,,,,,2024-06-01 00:00:00,Hogan ,Valerie ,"Jan 2024: added to BNL: single , not chronic May 2024: aged in chronic June 2024: inactive: left municipality",2024-09-29 00:00:00,Inactive,2024-06-01 00:00:00,Moved to inactive: left community,,,,,,,January,2024,---,---,June,2024,,Chronic,---,---,Adult,---,---,All populations,---,EI,,,2025-04-08 00:00:00,not in system ,
Inactive,Documents needed,,2024-09-01 00:00:00,,Perth,2024-07-17 00:00:00,7,7,2024-07-17 00:00:00,Hotel and/or motel,,Not a veteran,,,male,1984-08-01 00:00:00,41,Family,,Non-Indigenous,Lanark County Social Services/Housing,2024-07-17 00:00:00,Yes,,,,Lanark County Social Services/Housing,,,,,,ü,,,,2,ü,,,,,,2024-10-01 00:00:00,Hogan ,Valerie ,"July 2024: addd to BNL, not chronic family  Oct 2024: became homeless",2024-12-30 00:00:00,Inactive,2024-10-01 00:00:00,Moved to inactive: lost contact,Aged-in: chronic,,,,,,July,2024,---,---,October,2024,,Chronic,---,---,---,Family,---,All populations,0.5,,,,,,
Inactive,Documents needed,,2024-04-01 00:00:00,,Carleton Place,2023-11-24 00:00:00,11,29,2024-04-01 00:00:00,Shelter,,Not a veteran,,,Female,1995-11-09 00:00:00,30,Adult,,,Lanark County Interval House,2023-11-30 00:00:00,Yes,,,,Lanark County Interval House,,,,,,ü,,,,,ü,,,ü,,,2024-04-01 00:00:00,Hogan ,Valerie ,"Nov 2023: added to BNL, single chronic April 2024: Became inactive, moved to another community",2024-07-30 00:00:00,Inactive,2024-04-01 00:00:00,Moved to inactive: left community,,,,,,,November,2023,---,---,April,2024,,Chronic,---,---,Adult,---,---,All populations,---,no income,,,,,
Housed,Housed,,2025-10-01 00:00:00,,Smiths Falls,2025-08-13 00:00:00,12,14,2025-08-13 00:00:00,Permanent and/or long-term housing,2025-10-01 00:00:00,Not a veteran,,,male,1992-07-28 00:00:00,33,Adult,,Non-Indigenous,Lanark County Mental Health ,2025-08-13 00:00:00,Yes,,,,Lanark County Mental Health ,,,,,,,,,,1,ü,,,,ü,ü,2025-10-01 00:00:00,Hogan ,Valerie ,"Aug 2025: added to BNL, single chronic Oct 2025: housed ",2026-01-29 00:00:00,Inactive,,,,,,,,,August,2025,October,2025,---,---,,Chronic,---,---,Adult,---,---,All populations,All populations,OW ,,,,,
Inactive,Documents needed,,2024-03-01 00:00:00,,Smiths Falls,2024-02-10 00:00:00,3,3,2024-02-10 00:00:00,Unsheltered,,Not a veteran,,,Male,1980-04-21 00:00:00,46,Adult,,Non-Indigenous,Lanark Leeds Grenville Mental Health and Addictions,2024-02-10 00:00:00,Yes,,,,Lanark County Mental Health ,,,,,,,,,,,ü,,,,,,2024-03-01 00:00:00,Hogan ,Valerie ,"Feb 2024:  added to BNL, single not chronic  March 2024:  inactive, left municipality",2024-06-29 00:00:00,Inactive,2024-03-01 00:00:00,Moved to inactive: left community,,,,,,,February,2024,---,---,March,2024,,---,---,---,Adult,---,---,All populations,---,,,,,,
Housed,Housed,,2025-10-01 00:00:00,,Almonte,2025-08-15 00:00:00,5,6,2025-10-01 00:00:00,Permanent and/or long-term housing,2025-10-01 00:00:00,Not a veteran,,,female,1978-06-08 00:00:00,47,Adult,,Non-Indigenous,Other,2025-08-15 00:00:00,Yes,,,,Lanark County Social Services/Housing,,,,,,,,,,1,ü,,,,ü,,2025-10-01 00:00:00,Hogan ,valerie ,"Aug 2025: added to BNL, single not chronic Oct 2025: housed ",2026-01-29 00:00:00,Inactive,,,,,,,,,August,2025,October,2025,---,---,,---,---,---,Adult,---,---,All populations,All populations,ODSP ,,,,,
Housed,Housed,,2024-01-01 00:00:00,,Mississippi Mills,2023-09-14 00:00:00,12,36,2024-01-01 00:00:00,Couch surfing,2024-01-01 00:00:00,Not a veteran,,,Female,1985-02-20 00:00:00,41,Adult,,,Lanark County Mental Health ,2023-09-14 00:00:00,Yes,,,,Lanark County Mental Health ,,,,,,ü,,,,,ü,,,,,,2024-01-01 00:00:00,Hogan ,Valerie ,Jan 2024: housed,2024-04-30 00:00:00,Inactive,,,,,,,,,September,2023,January,2024,---,---,,Chronic,---,---,Adult,---,---,All populations,---,,,,,,
Inactive,Awaiting match,,2025-04-01 00:00:00,,Carleton Place,2025-02-05 00:00:00,12,36,2021-09-21 00:00:00,couch surfing ,,Not a veteran,,,Male,1982-06-03 00:00:00,43,Adult,,Non-Indigenous,Cornerstone Landing Youth Services,2021-09-30 00:00:00,Yes,2021-09-30 00:00:00,,,Lanark County Social Services ,,,,,,ü,,,,1,,ü,,,,,2025-02-01 00:00:00,Hogan ,Valerie ,"Terrilee completed survey, moved to inactive Feb 2025:  returned from inactive  April 2025:  became inactive: unable to contact ",2025-07-30 00:00:00,Inactive,2025-04-01 00:00:00,Moved to inactive: lost contact,,,,,,,September,2021,---,---,April,2025,,Chronic,---,---,Adult,---,---,All populations,1,noincome ,,,,,
Housed,Housed,,2025-09-01 00:00:00,,Smiths Falls,2025-05-20 00:00:00,12,16,2025-05-20 00:00:00,Permanent and/or long-term housing,2025-09-01 00:00:00,Not a veteran,,,male,2006-01-02 00:00:00,20,Youth,,Non-Indigenous,Lanark County Social Services/Housing,2025-05-20 00:00:00,Yes,,,,Cornerstone Landing,,,,,,ü,ü,,,1,ü,,,,ü,,2025-09-01 00:00:00,Hogan ,Valerie ,"May 2025: added to BNL, chronic youth Sept 2025: housed ",2025-12-30 00:00:00,Inactive,,,,,,,,,May,2025,September,2025,---,---,,Chronic,---,Youth,---,---,---,All populations,All populations,OW,"cornerstone May 21, 2025",,,,
